filename,roughness_score
07195.png,5.36
46585.png,89.8
59008.png,84.03
65652.png,41.01
34686.png,74.67
13823.png,42.83
18464.png,39.99
26695.png,76.88
18684.png,84.34
64383.png,91.3
67292.png,92.34
50081.png,60.68
05248.png,2.01
25455.png,60.14
62607.png,84.77
69579.png,17.95
16197.png,81.43
21908.png,53.41
12792.png,77.35
22917.png,74.03
02775.png,66.43
04641.png,9.6
68085.png,35.23
37363.png,31.49
30729.png,83.0
65790.png,16.86
59311.png,55.37
24830.png,10.51
34848.png,37.92
29922.png,37.95
49978.png,82.2
11743.png,87.87
43064.png,71.3
24713.png,71.81
58966.png,86.64
55730.png,90.46
55155.png,61.28
54228.png,86.84
01162.png,63.6
34627.png,66.33
20415.png,23.61
56225.png,70.15
68609.png,27.16
09357.png,75.59
18812.png,77.77
25467.png,79.91
56515.png,36.48
67362.png,68.11
44309.png,60.1
64911.png,78.67
38631.png,71.5
35736.png,84.52
31619.png,74.04
53854.png,40.54
10906.png,74.4
48350.png,11.52
03011.png,75.97
10805.png,21.17
63790.png,68.65
39539.png,89.45
10235.png,88.48
58697.png,63.63
33046.png,75.02
18524.png,88.72
67606.png,86.8
23313.png,7.95
34279.png,52.43
57342.png,86.32
50238.png,93.96
43943.png,42.35
20633.png,91.69
55810.png,21.91
12567.png,73.3
28152.png,56.53
49905.png,53.47
62264.png,46.11
28874.png,83.26
09920.png,88.82
58753.png,63.57
38179.png,94.21
45879.png,85.69
36516.png,53.81
54021.png,76.43
52179.png,67.37
27949.png,58.58
00419.png,88.47
07322.png,11.87
36121.png,57.88
26532.png,62.09
37969.png,7.45
51349.png,68.95
67307.png,70.39
43540.png,56.76
35218.png,44.26
64377.png,32.05
66281.png,56.4
49990.png,80.62
68025.png,49.28
43945.png,42.36
50008.png,29.43
30086.png,44.44
38620.png,35.81
24266.png,75.95
26899.png,24.18
34185.png,82.72
24953.png,86.59
23718.png,49.35
24052.png,62.64
53037.png,45.18
61763.png,83.27
51925.png,68.42
16305.png,37.79
22673.png,38.6
49907.png,66.89
47529.png,70.96
36323.png,60.5
27947.png,22.86
51563.png,71.43
31157.png,35.3
53506.png,86.27
27227.png,50.35
63731.png,65.0
13006.png,85.1
31005.png,75.08
32675.png,1.68
43257.png,46.94
39753.png,43.74
62434.png,5.6
46957.png,71.86
20868.png,70.18
51674.png,64.47
63530.png,67.7
24916.png,73.35
06531.png,54.81
55154.png,45.66
15882.png,69.43
07198.png,78.12
56352.png,10.31
49062.png,86.76
24882.png,75.22
47379.png,55.47
57210.png,57.15
66799.png,22.05
56493.png,67.08
34872.png,54.49
06764.png,72.44
02214.png,77.72
20764.png,57.3
21514.png,79.43
11235.png,48.1
08775.png,49.57
66178.png,34.46
56972.png,71.42
51108.png,86.81
39199.png,52.65
16659.png,39.53
21399.png,70.62
30772.png,85.3
01328.png,51.28
14859.png,89.93
15682.png,77.5
64881.png,50.96
54222.png,74.94
07288.png,67.42
08546.png,78.16
24229.png,54.39
69562.png,19.71
38858.png,72.18
18511.png,75.93
14691.png,72.82
16809.png,75.85
44710.png,79.14
45495.png,84.97
67874.png,76.15
57753.png,91.71
12568.png,52.76
19511.png,71.11
38840.png,82.27
06782.png,85.34
54146.png,71.28
31421.png,83.05
45708.png,60.48
53205.png,82.52
43209.png,79.86
23588.png,50.5
69588.png,78.82
08520.png,79.63
26974.png,84.45
57142.png,81.65
10429.png,73.27
03551.png,80.28
63069.png,72.58
06306.png,66.9
27544.png,19.28
46084.png,71.48
30865.png,18.18
51058.png,68.04
37953.png,6.25
35230.png,55.03
17333.png,58.04
11043.png,35.97
45751.png,42.85
14220.png,58.53
51831.png,32.18
43777.png,68.27
63776.png,86.35
39009.png,31.61
60273.png,35.88
34132.png,72.91
26084.png,85.22
51526.png,73.01
23421.png,47.51
24046.png,59.18
25046.png,23.25
24106.png,73.6
06031.png,31.66
67617.png,87.62
23900.png,65.79
16316.png,46.86
39265.png,70.31
08295.png,76.04
12840.png,48.46
61085.png,73.06
20026.png,68.03
15206.png,80.48
03083.png,96.55
17524.png,77.53
38025.png,34.07
23782.png,66.76
20174.png,48.24
00925.png,82.29
50051.png,87.54
42950.png,78.87
29584.png,47.13
22218.png,30.39
07619.png,12.14
39794.png,91.5
63761.png,62.51
00446.png,60.81
53399.png,63.14
62553.png,56.0
02373.png,23.06
55571.png,81.07
16065.png,70.35
38225.png,84.09
62832.png,69.45
50870.png,78.78
25469.png,53.04
10828.png,72.21
12419.png,20.25
34330.png,23.19
08285.png,80.17
19460.png,53.51
59662.png,79.3
54154.png,79.63
16995.png,70.09
12152.png,80.95
06945.png,52.58
37731.png,94.34
03112.png,50.58
25815.png,75.63
35866.png,86.32
44528.png,21.55
17652.png,74.46
52621.png,37.37
02089.png,84.48
01036.png,23.46
46000.png,91.14
13317.png,51.03
56039.png,75.11
20204.png,87.67
57682.png,65.58
10407.png,81.39
34507.png,20.81
01979.png,78.22
52070.png,84.23
30765.png,35.94
15874.png,55.85
50730.png,19.01
31323.png,14.86
18058.png,59.54
36159.png,59.0
15728.png,70.9
06013.png,53.56
68634.png,12.05
12944.png,69.38
00525.png,63.81
50522.png,65.86
56860.png,72.81
28798.png,53.89
60215.png,45.36
08808.png,71.25
46217.png,25.99
67236.png,65.33
26440.png,65.74
49609.png,28.42
21297.png,67.46
48687.png,19.93
54535.png,58.07
55503.png,64.57
06156.png,50.57
05934.png,33.59
35673.png,77.81
64569.png,63.11
28684.png,43.75
39516.png,81.62
40804.png,81.07
26329.png,87.61
04984.png,60.91
42857.png,52.1
57838.png,6.62
53855.png,42.47
32071.png,90.05
32294.png,70.16
35163.png,72.6
57463.png,41.67
06269.png,49.7
59682.png,36.52
33313.png,65.0
32693.png,60.26
10371.png,54.96
09129.png,60.04
47657.png,69.13
38680.png,53.42
51063.png,65.01
56473.png,80.93
67809.png,38.33
66556.png,31.21
60616.png,74.4
46806.png,44.81
41372.png,60.84
07922.png,85.06
09700.png,65.11
64615.png,69.5
33727.png,65.33
05798.png,71.35
18676.png,84.21
53924.png,68.61
45083.png,52.22
03443.png,78.27
10501.png,29.56
64499.png,92.97
62539.png,25.18
33045.png,68.8
61990.png,54.45
30777.png,57.91
19439.png,67.46
03706.png,69.71
35636.png,75.27
28096.png,31.94
62261.png,79.85
37257.png,66.99
16729.png,42.84
44062.png,73.15
27665.png,34.69
19894.png,74.46
06303.png,49.05
31355.png,97.36
05976.png,50.31
62194.png,48.83
39296.png,86.9
20822.png,72.66
53697.png,86.29
64484.png,85.4
21086.png,43.72
45347.png,84.03
03422.png,83.02
22212.png,63.2
61903.png,36.11
48563.png,83.03
67278.png,87.54
01662.png,77.96
13639.png,77.54
35837.png,30.36
06429.png,12.5
24020.png,18.37
20533.png,89.41
26820.png,78.04
21892.png,83.32
34334.png,81.55
13901.png,80.9
34652.png,90.64
13725.png,68.56
63434.png,23.82
21402.png,69.97
43718.png,87.56
07086.png,80.1
13838.png,72.28
67531.png,78.74
54171.png,71.54
11180.png,88.02
41251.png,75.31
31576.png,19.17
06869.png,83.06
01851.png,25.05
68656.png,40.08
09273.png,71.56
35454.png,62.58
26002.png,37.57
31503.png,77.49
35387.png,62.43
35060.png,80.03
51883.png,86.14
56128.png,52.21
09223.png,94.02
64981.png,34.43
45598.png,59.91
03756.png,93.8
16745.png,21.29
64425.png,69.35
16055.png,62.18
68493.png,24.48
27551.png,58.12
69974.png,31.68
65093.png,27.75
57190.png,70.47
25345.png,67.12
50229.png,73.52
69095.png,87.09
02332.png,64.75
05507.png,47.72
21325.png,56.06
10734.png,77.08
43190.png,88.29
39074.png,92.06
63001.png,46.82
12173.png,69.89
17282.png,15.2
29040.png,5.7
08031.png,86.39
05542.png,84.83
43992.png,87.76
26108.png,87.69
58004.png,37.25
58311.png,7.21
66372.png,72.88
56817.png,54.09
42582.png,57.11
49410.png,31.89
42671.png,11.89
38301.png,54.83
07302.png,27.09
17783.png,54.57
30284.png,40.14
58889.png,25.53
21033.png,59.07
22334.png,7.9
17805.png,34.14
52491.png,68.35
36194.png,5.28
15220.png,22.62
60213.png,39.23
41984.png,14.85
09421.png,48.15
58698.png,72.42
30378.png,8.86
59961.png,93.7
58364.png,68.04
33773.png,11.08
14250.png,75.07
05105.png,5.4
56799.png,61.07
06559.png,92.2
43212.png,73.95
03145.png,88.05
17002.png,64.47
33779.png,66.38
29774.png,68.72
21730.png,77.93
48678.png,20.96
64656.png,87.95
36895.png,62.61
32319.png,32.2
57025.png,68.53
60331.png,71.85
45978.png,65.93
14113.png,79.88
64849.png,79.29
07442.png,58.66
47687.png,74.1
29944.png,62.64
51191.png,63.31
67594.png,5.64
16672.png,83.8
36470.png,82.55
48944.png,23.67
32118.png,35.6
27879.png,84.74
61404.png,38.15
48091.png,35.87
58746.png,64.26
43153.png,85.13
00249.png,22.94
54283.png,86.68
09470.png,64.26
65289.png,56.91
12447.png,75.3
63190.png,40.38
31947.png,38.64
22335.png,58.6
13079.png,86.35
21811.png,77.49
47695.png,48.3
11500.png,78.7
12899.png,85.62
02537.png,16.16
13621.png,61.41
09519.png,70.52
25608.png,72.46
63137.png,67.41
27220.png,77.17
19775.png,23.06
33609.png,80.24
10944.png,70.64
66006.png,89.77
16233.png,75.88
04866.png,81.54
11780.png,87.34
69123.png,22.09
55718.png,58.08
38595.png,62.78
44201.png,83.61
53985.png,66.11
55319.png,25.36
21918.png,89.74
60352.png,77.16
14248.png,43.8
34830.png,38.98
09020.png,67.04
27141.png,94.05
35084.png,57.55
56003.png,70.76
46365.png,74.39
66100.png,24.1
08207.png,49.58
24651.png,59.19
04975.png,24.37
29524.png,55.13
66788.png,80.91
19748.png,70.11
66606.png,77.29
30971.png,77.23
57949.png,22.04
21401.png,87.81
15456.png,86.55
61866.png,33.4
64414.png,83.79
61751.png,51.43
07035.png,62.57
55746.png,63.77
39999.png,80.74
33573.png,29.48
56696.png,79.37
56835.png,79.75
68630.png,65.16
52524.png,77.94
10608.png,47.86
18638.png,27.93
13965.png,45.3
37791.png,22.7
44867.png,9.74
20744.png,40.08
15726.png,27.72
44447.png,25.99
17448.png,56.92
27717.png,17.97
40005.png,60.17
54401.png,75.04
10175.png,56.53
66243.png,76.72
65531.png,71.68
49201.png,57.53
31152.png,62.79
40517.png,74.89
33572.png,80.35
33140.png,51.84
07384.png,86.34
56814.png,61.18
34761.png,17.2
39092.png,51.79
50653.png,23.74
13772.png,80.67
01795.png,74.44
66053.png,69.37
50597.png,64.24
47511.png,16.16
65071.png,63.78
54838.png,62.35
37318.png,58.6
01397.png,73.35
40591.png,79.97
69051.png,82.81
25921.png,40.24
53710.png,79.32
36616.png,75.64
48138.png,71.72
05319.png,53.87
54922.png,24.95
23954.png,38.94
47917.png,63.75
25077.png,28.83
49630.png,32.9
51833.png,26.51
65894.png,44.38
49497.png,78.55
50710.png,42.23
54102.png,40.04
53031.png,74.62
53958.png,94.67
32692.png,74.01
24262.png,78.63
01232.png,74.66
30751.png,91.26
06633.png,57.03
33078.png,54.68
45548.png,53.35
23131.png,42.01
53207.png,74.44
54324.png,60.91
67115.png,82.37
50017.png,78.31
57522.png,97.73
59801.png,65.79
43494.png,42.73
37837.png,69.45
53598.png,46.65
54807.png,8.13
40528.png,64.47
45130.png,68.15
00189.png,67.45
42546.png,20.62
01705.png,3.28
31587.png,73.68
63979.png,68.18
68084.png,15.93
07889.png,80.71
39847.png,82.93
38684.png,68.35
24420.png,94.5
16765.png,87.21
39571.png,31.06
40632.png,64.89
44826.png,19.52
16431.png,27.75
02148.png,87.51
38831.png,68.4
61535.png,53.56
46881.png,88.11
16582.png,56.51
65479.png,31.29
43959.png,85.69
67340.png,63.61
42213.png,22.4
45100.png,6.81
04092.png,76.04
01117.png,16.01
55477.png,53.65
01155.png,52.52
23765.png,63.69
44774.png,53.32
42531.png,68.96
56059.png,88.3
58353.png,47.46
33379.png,50.01
20431.png,33.23
02169.png,45.28
31611.png,87.69
12395.png,91.96
07320.png,78.54
57937.png,54.48
59251.png,57.12
56250.png,73.1
57496.png,53.14
64171.png,59.95
69919.png,74.83
08259.png,11.98
33465.png,94.43
12960.png,78.62
54740.png,81.08
67750.png,78.68
57445.png,70.06
32494.png,41.07
52149.png,87.77
28498.png,67.83
20676.png,46.7
33302.png,52.11
19643.png,73.47
02444.png,90.04
48811.png,72.58
22362.png,79.8
25061.png,58.78
05619.png,60.16
05505.png,24.42
68150.png,28.33
11345.png,77.49
23478.png,82.21
32258.png,40.64
43199.png,24.25
58876.png,41.8
08732.png,86.13
23285.png,82.71
59834.png,57.55
63816.png,71.47
13227.png,54.94
64904.png,19.64
68637.png,63.53
69016.png,55.94
23370.png,77.62
01533.png,10.08
67059.png,89.37
51179.png,85.43
67098.png,88.8
44934.png,58.07
26392.png,90.12
25841.png,53.76
35660.png,56.28
29615.png,57.9
29802.png,18.57
31878.png,72.07
09762.png,58.2
21393.png,64.66
44763.png,72.85
63519.png,86.74
03285.png,84.59
32125.png,76.13
09408.png,74.17
03358.png,46.7
32725.png,20.35
31428.png,58.01
52339.png,70.94
58969.png,10.85
18629.png,59.29
07536.png,76.27
47627.png,91.49
62263.png,21.76
43080.png,73.19
25177.png,87.83
01340.png,50.17
11046.png,79.43
07095.png,71.11
26201.png,63.03
59428.png,72.91
33880.png,78.74
46067.png,68.67
07589.png,17.82
01324.png,82.08
01018.png,20.83
41703.png,24.08
43736.png,49.38
51263.png,61.76
36771.png,39.76
26572.png,80.51
46869.png,31.6
20445.png,66.6
64716.png,64.77
48249.png,73.81
11365.png,26.39
32763.png,88.7
39824.png,82.17
27008.png,89.42
65310.png,22.33
03301.png,43.06
07042.png,22.01
46190.png,82.53
10206.png,75.26
12542.png,59.27
09843.png,72.39
17117.png,60.72
28704.png,73.49
43369.png,24.64
42524.png,6.66
31218.png,65.85
48285.png,52.52
18734.png,57.2
44252.png,89.43
60564.png,17.68
32220.png,20.77
48158.png,22.09
42710.png,79.75
23751.png,57.87
35989.png,82.84
10721.png,62.55
07028.png,87.55
16777.png,50.0
53073.png,10.56
60186.png,88.1
68813.png,47.41
67171.png,66.84
69213.png,76.45
41079.png,67.3
55754.png,59.89
36196.png,16.31
03369.png,61.98
49116.png,79.35
46978.png,49.67
36409.png,43.4
26522.png,76.05
28961.png,34.11
33100.png,46.55
54142.png,32.74
51790.png,45.53
49588.png,29.76
58193.png,68.47
18554.png,37.56
37094.png,61.08
67789.png,90.59
12426.png,6.95
56730.png,53.63
48144.png,70.9
67435.png,45.14
62462.png,58.89
37478.png,72.79
21065.png,42.99
13131.png,9.03
06195.png,63.7
63546.png,55.01
51875.png,42.37
43303.png,85.82
41399.png,56.12
66713.png,11.08
54374.png,65.92
16454.png,76.14
63250.png,14.96
37790.png,46.22
11376.png,88.04
32999.png,2.87
23754.png,42.47
41664.png,83.05
55402.png,31.87
09482.png,59.53
54133.png,34.81
25561.png,86.45
51853.png,90.53
14192.png,73.56
18009.png,68.9
02059.png,76.76
51708.png,26.2
48025.png,57.3
36063.png,60.3
67764.png,12.02
52154.png,66.77
18123.png,77.36
67374.png,58.52
28212.png,78.57
24825.png,72.64
33584.png,75.17
23972.png,68.97
66779.png,67.89
64939.png,86.13
13516.png,43.72
39817.png,80.61
38546.png,11.23
11856.png,28.75
24164.png,85.68
33172.png,65.64
45764.png,11.43
04227.png,66.54
28750.png,70.76
47052.png,52.74
42553.png,73.92
69360.png,7.42
20650.png,32.15
69553.png,81.8
31996.png,43.47
22031.png,3.84
50907.png,80.78
07393.png,75.09
03194.png,57.18
22600.png,51.23
42140.png,90.25
63272.png,17.6
69296.png,75.84
66500.png,74.26
08591.png,36.11
29662.png,60.31
44624.png,63.96
61986.png,5.08
54604.png,26.47
02907.png,24.79
44942.png,89.44
30085.png,35.24
63445.png,27.72
37975.png,68.87
45132.png,77.0
24241.png,32.59
18425.png,62.92
49933.png,8.71
47792.png,31.74
25812.png,67.0
02451.png,50.38
69314.png,61.99
57119.png,51.88
15330.png,77.0
44901.png,85.85
40721.png,45.67
23797.png,57.62
00317.png,70.89
32012.png,42.78
27450.png,76.36
38103.png,67.45
62669.png,50.81
07930.png,20.42
49931.png,7.75
27979.png,56.27
12626.png,93.04
11875.png,41.07
14466.png,6.44
29146.png,9.25
66924.png,94.98
29403.png,38.15
48977.png,74.33
12790.png,70.32
56383.png,35.91
02492.png,85.71
19145.png,44.67
16518.png,22.94
64386.png,82.51
34809.png,77.92
01585.png,88.71
31176.png,59.65
04357.png,28.32
17379.png,86.48
51066.png,84.31
51019.png,35.27
68481.png,31.85
14443.png,65.03
27274.png,69.86
25852.png,56.9
23582.png,88.23
25477.png,72.23
61771.png,73.44
51803.png,67.84
46533.png,31.91
08474.png,31.88
64493.png,53.82
07107.png,63.57
09571.png,76.01
40411.png,91.75
52072.png,71.16
54259.png,23.05
20293.png,82.91
00568.png,66.51
44260.png,35.03
09634.png,40.48
23852.png,76.52
36565.png,30.05
04365.png,74.27
37066.png,40.23
29263.png,94.33
51436.png,69.34
28318.png,87.75
18657.png,85.11
66541.png,83.24
18811.png,80.85
29027.png,65.91
31597.png,45.38
59271.png,50.65
19763.png,85.27
14851.png,21.75
39919.png,70.48
15983.png,90.92
56203.png,71.65
17786.png,76.83
34868.png,88.05
56274.png,77.14
39466.png,62.67
44685.png,36.23
00899.png,68.98
45154.png,13.65
31740.png,85.61
15085.png,88.44
21191.png,73.45
19130.png,25.48
24895.png,74.21
03434.png,62.92
31273.png,69.87
13428.png,70.72
27247.png,83.12
48516.png,80.63
42089.png,41.45
39322.png,50.6
58319.png,62.67
06736.png,69.73
48105.png,66.65
38801.png,78.38
60765.png,14.25
00622.png,25.02
43324.png,77.87
08506.png,81.5
48310.png,90.89
02356.png,16.49
49958.png,93.73
18180.png,20.97
53108.png,69.84
04083.png,55.44
32958.png,58.92
66944.png,17.29
52447.png,85.68
12056.png,83.4
07841.png,39.64
